# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 994  of event 'cpu_atom/cycles/u'
# Event count (approx.): 21634007141
#
# Children      Self  Command  Shared Object                 Symbol
# ........  ........  .......  ............................  ................................................
#
    99.57%     0.00%  luajit   libc.so.6                     [.] 0x00007f4b1cc63ca7
    99.57%     0.00%  luajit   luajit                        [.] main
    99.47%     0.00%  luajit   luajit                        [.] lj_BC_FUNCC
    99.47%     0.00%  luajit   luajit                        [.] lj_vm_cpcall
    99.47%     0.00%  luajit   luajit                        [.] lua_cpcall
    99.47%     0.00%  luajit   luajit                        [.] pmain
    99.45%     0.00%  luajit   luajit                        [.] docall
    99.45%     0.00%  luajit   luajit                        [.] lj_vm_pcall_unwind
    99.45%     0.00%  luajit   luajit                        [.] lua_pcall
    97.65%     0.51%  luajit   luajit                        [.] lj_func_newL_gc
    97.65%     0.00%  luajit   luajit                        [.] lj_BC_FNEW
    92.72%     0.00%  luajit   luajit                        [.] gc2_step_auto
    92.72%     0.00%  luajit   luajit                        [.] lj_gc2_step_explicit
    69.98%     0.00%  luajit   luajit                        [.] gc2_traverse_obj
    67.35%     1.41%  luajit   luajit                        [.] gc2_traverse_tab_rec.constprop.0
    54.09%     0.10%  luajit   luajit                        [.] gc2_worker_drain_inner
    50.92%     0.00%  luajit   luajit                        [.] gc2_mark_drain_owned_bounded
    50.82%     0.00%  luajit   luajit                        [.] gc2_drain_grey
    43.64%     9.28%  luajit   luajit                        [.] gc2_small_candidate_admit
    35.21%     1.31%  luajit   luajit                        [.] gc2_markobj_preserve_status_impl.constprop.0
    33.54%     0.00%  luajit   luajit                        [.] gc2_fixpoint_round
    33.54%     0.00%  luajit   luajit                        [.] gc2_mark_close_help
    33.31%     0.61%  luajit   luajit                        [.] gc2_trace_sweep_tv_edge.isra.0
    33.04%     0.30%  luajit   luajit                        [.] gc2_markobj_worker_status
    32.23%     0.00%  luajit   luajit                        [.] gc2_mark_payload_obj_worker
    31.43%     0.40%  luajit   luajit                        [.] gc2_small_registered_rescue_enter
    31.13%     1.72%  luajit   luajit                        [.] gc2_retain_candidate_status
    31.03%     1.11%  luajit   luajit                        [.] lj_arena_hugetab_rescue_enter
    24.02%     0.61%  luajit   luajit                        [.] gc2_tv_admit_scoped_impl
    23.62%     1.01%  luajit   luajit                        [.] gc2_observed_obj_status_scoped_impl
    20.51%     0.00%  luajit   luajit                        [.] lj_gc2_sweep_prepare_bridge_boundary.part.0
    17.96%     0.00%  luajit   luajit                        [.] lj_gc2_sweep_owner_progress
    17.28%     0.00%  luajit   luajit                        [.] gc2_mark_complete_result
    11.10%     9.28%  luajit   luajit                        [.] hugetab_counted_lease_release.part.0
    10.49%     0.40%  luajit   luajit                        [.] gc2_sweep_arena_unmarked_impl.isra.0
    10.49%     0.00%  luajit   luajit                        [.] lj_gc_sweep_gc2_arena_unmarked_exclusive
     9.99%     6.25%  luajit   luajit                        [.] gc2_sweep_pregrace_batch
     9.98%     9.98%  luajit   luajit                        [.] hugetab_reader_entry
