mode,benchmark,stock_ns_per_op,fork_ns_per_op,fork_over_stock
-jon,arith_loop,0.68,0.68,1.0
-jon,fib30,6107000.0,8781000.0,1.4378581955133454
-jon,tab_hash_write,25.17,32.65,1.2971791815653555
-jon,tab_store_existing,1.92,2.05,1.0677083333333333
-jon,tab_insert_newkey,120.05,1827.49,15.222740524781342
-jon,tab_hash_read,22.41,23.56,1.0513163766175815
-jon,tab_read_existing,2.02,2.13,1.0544554455445545
-jon,tab_array,2.73,2.74,1.0036630036630036
-jon,alloc_tables,0.68,0.69,1.0147058823529411
-jon,string_intern,70.96,8.34,0.11753100338218715
-jon,closures_upval,73.15,4055.45,55.4401913875598
-jon,upval_hot,0.68,0.69,1.0147058823529411
-jon,ffi_struct,0.68,0.69,1.0147058823529411
-jon,coroutine_switch,28.28,235.24,8.318246110325319
-jon,sbuf_format,72.91,7.76,0.10643258812234262
-joff,arith_loop,3.42,5.61,1.6403508771929827
-joff,fib30,28706000.0,34882000.0,1.215146659235003
-joff,tab_hash_write,47.98,69.02,1.4385160483534807
-joff,tab_store_existing,13.05,662.66,50.778544061302675
-joff,tab_insert_newkey,135.07,3767.87,27.895683719552824
-joff,tab_hash_read,46.37,412.31,8.891740349363813
-joff,tab_read_existing,14.18,,
-joff,tab_array,12.46,,
-joff,alloc_tables,55.07,,
-joff,string_intern,95.77,,
-joff,closures_upval,76.21,,
-joff,upval_hot,8.94,,
-joff,ffi_struct,75.74,,
-joff,coroutine_switch,18.48,,
-joff,sbuf_format,104.53,,
