diagnostic,kind,index,process_cpu_s,phase,cycle,recovery_items,ssb_items_published,ssb_items_drained,marks_this_round,hash_mask
minimal_10000,before,250,0.003055,0,1,0,168,168,16,255
minimal_10000,before,500,0.003388,0,1,0,168,168,18,511
minimal_10000,before,750,0.003783,0,1,0,168,168,20,1023
minimal_10000,before,1000,0.004086,0,1,0,168,168,20,1023
minimal_10000,before,1250,0.007297,0,2,0,2258,2258,1,2047
minimal_10000,before,1500,0.007605,0,2,0,2258,2258,1,2047
minimal_10000,before,1750,0.007946,0,2,0,2258,2258,1,2047
minimal_10000,before,2000,0.008327,0,2,0,2258,2258,1,2047
minimal_10000,before,2250,0.008722,0,2,0,2258,2258,3,4095
minimal_10000,before,2500,0.009027,0,2,0,2258,2258,3,4095
minimal_10000,before,2750,0.009329,0,2,0,2258,2258,3,4095
minimal_10000,before,3000,0.009660,0,2,0,2258,2258,3,4095
minimal_10000,before,3250,0.009963,0,2,0,2258,2258,3,4095
minimal_10000,before,3500,0.010267,0,2,0,2258,2258,3,4095
minimal_10000,before,3750,0.010570,0,2,0,2258,2258,3,4095
minimal_10000,before,4000,0.010933,0,2,0,2258,2258,3,4095
minimal_10000,before,4250,0.354348,3,3,3179,7420,7420,0,8191
minimal_10000,before,4500,1.402001,3,3,3456,16636,16636,0,8191
minimal_10000,before,4750,2.137747,3,3,3644,23804,22780,1,8191
minimal_10000,before,5000,3.295673,3,3,3926,31996,31996,1,8191
minimal_10000,before,5250,4.518146,3,3,4208,41212,41212,3,8191
minimal_10000,before,5500,5.371173,3,3,4396,48380,47356,3,8191
minimal_10000,before,5750,6.705813,3,3,4678,56572,56572,3,8191
minimal_10000,before,6000,8.106867,3,3,4960,65788,65788,4,8191
minimal_10000,before,6250,9.078249,3,3,5148,71932,71932,6,8191
minimal_10000,before,6500,10.589917,3,3,5430,81148,81148,6,8191
minimal_10000,before,6750,12.168250,3,3,5712,90364,90364,6,8191
minimal_10000,before,7000,13.256162,3,3,5900,96508,96508,7,8191
minimal_10000,before,7250,14.941832,3,3,6182,105724,105724,7,8191
minimal_10000,before,7500,16.694871,3,3,6464,114940,114940,10,8191
minimal_10000,before,7750,17.901409,3,3,6652,121084,121084,10,8191
minimal_10000,before,8000,19.825903,3,3,6942,132453,132453,10,8191
minimal_10000,before,8250,21.378273,3,3,7171,141669,141669,11,16383
minimal_10000,before,8500,23.382695,3,3,7453,150885,150885,11,16383
minimal_10000,before,8750,24.756966,3,3,7641,158053,157029,11,16383
minimal_10000,before,9000,26.872142,3,3,8989,167269,167034,11,16383
minimal_10000,before,9250,28.328680,3,3,8205,174437,174437,11,16383
minimal_10000,before,9500,29.819548,3,3,8393,181605,180581,11,16383
minimal_10000,before,9750,32.111217,3,3,9739,190821,190291,11,16383
minimal_10000,before,10000,33.690064,3,3,8957,197989,197989,11,16383
minimal_10000,before,10001,33.690074,3,3,8957,197989,197989,11,16383
minimal_10000,before,10002,33.882583,0,4,0,204500,204500,0,16383
minimal_10000,after,250,0.003036,0,1,0,168,168,16,255
minimal_10000,after,500,0.003368,0,1,0,168,168,18,511
minimal_10000,after,750,0.003769,0,1,0,168,168,20,1023
minimal_10000,after,1000,0.004072,0,1,0,168,168,20,1023
minimal_10000,after,1250,0.006848,0,2,0,2258,2258,1,2047
minimal_10000,after,1500,0.007157,0,2,0,2258,2258,1,2047
minimal_10000,after,1750,0.007505,0,2,0,2258,2258,1,2047
