mode,benchmark,stock_ns_per_op,fork_ns_per_op,fork_over_stock,stock_process_status,fork_process_status,fork_row_status
-jon,arith_loop,0.68,0.68,1.0,complete,complete,reported
-jon,fib30,6422000.0,8853000.0,1.3785425101214575,complete,complete,reported
-jon,tab_hash_write,25.53,32.17,1.2600861731296513,complete,complete,reported
-jon,tab_store_existing,1.98,1.83,0.9242424242424243,complete,complete,reported
-jon,tab_insert_newkey,113.81,6731.25,59.144627009928826,complete,complete,reported
-jon,tab_hash_read,22.99,22.32,0.9708568943018705,complete,complete,reported
-jon,tab_read_existing,2.14,2.08,0.9719626168224299,complete,complete,reported
-jon,tab_array,2.73,2.74,1.0036630036630036,complete,complete,reported
-jon,alloc_tables,0.68,0.69,1.0147058823529411,complete,complete,reported
-jon,string_intern,73.07,8.14,0.11140002737101412,complete,complete,reported
-jon,closures_upval,73.5,4381.87,59.617278911564625,complete,complete,reported
-jon,upval_hot,0.68,0.69,1.0147058823529411,complete,complete,reported
-jon,ffi_struct,0.68,0.69,1.0147058823529411,complete,complete,reported
-jon,coroutine_switch,24.47,235.27,9.614630159378832,complete,complete,reported
-jon,sbuf_format,71.26,7.76,0.108896996912714,complete,complete,reported
-joff,arith_loop,3.42,5.7,1.6666666666666667,complete,timeout,reported
-joff,fib30,28702000.0,32849000.0,1.1444847048986133,complete,timeout,reported
-joff,tab_hash_write,50.67,68.47,1.351292678113282,complete,timeout,reported
-joff,tab_store_existing,12.69,663.94,52.319936958234834,complete,timeout,reported
-joff,tab_insert_newkey,133.12,,,complete,timeout,missing
-joff,tab_hash_read,52.02,,,complete,timeout,missing
-joff,tab_read_existing,14.11,,,complete,timeout,missing
-joff,tab_array,12.46,,,complete,timeout,missing
-joff,alloc_tables,56.29,,,complete,timeout,missing
-joff,string_intern,95.34,,,complete,timeout,missing
-joff,closures_upval,78.33,,,complete,timeout,missing
-joff,upval_hot,8.94,,,complete,timeout,missing
-joff,ffi_struct,76.0,,,complete,timeout,missing
-joff,coroutine_switch,19.54,,,complete,timeout,missing
-joff,sbuf_format,106.18,,,complete,timeout,missing
