kind,mode,benchmark,total_s,ns_per_op,process_status
stock,-jon,arith_loop,0.0342,0.68,complete
stock,-jon,fib30,0.0064,6422000.0,complete
stock,-jon,tab_hash_write,0.0511,25.53,complete
stock,-jon,tab_store_existing,0.0395,1.98,complete
stock,-jon,tab_insert_newkey,0.0228,113.81,complete
stock,-jon,tab_hash_read,0.4598,22.99,complete
stock,-jon,tab_read_existing,0.0643,2.14,complete
stock,-jon,tab_array,0.082,2.73,complete
stock,-jon,alloc_tables,0.0034,0.68,complete
stock,-jon,string_intern,0.1461,73.07,complete
stock,-jon,closures_upval,0.3675,73.5,complete
stock,-jon,upval_hot,0.0342,0.68,complete
stock,-jon,ffi_struct,0.0205,0.68,complete
stock,-jon,coroutine_switch,0.0734,24.47,complete
stock,-jon,sbuf_format,0.1425,71.26,complete
after,-jon,arith_loop,0.0342,0.68,complete
after,-jon,fib30,0.0089,8853000.0,complete
after,-jon,tab_hash_write,0.0643,32.17,complete
after,-jon,tab_store_existing,0.0367,1.83,complete
after,-jon,tab_insert_newkey,1.3462,6731.25,complete
after,-jon,tab_hash_read,0.4465,22.32,complete
after,-jon,tab_read_existing,0.0624,2.08,complete
after,-jon,tab_array,0.0822,2.74,complete
after,-jon,alloc_tables,0.0034,0.69,complete
after,-jon,string_intern,0.0163,8.14,complete
after,-jon,closures_upval,21.9093,4381.87,complete
after,-jon,upval_hot,0.0343,0.69,complete
after,-jon,ffi_struct,0.0206,0.69,complete
after,-jon,coroutine_switch,0.7058,235.27,complete
after,-jon,sbuf_format,0.0155,7.76,complete
stock,-joff,arith_loop,0.1711,3.42,complete
stock,-joff,fib30,0.0287,28702000.0,complete
stock,-joff,tab_hash_write,0.1013,50.67,complete
stock,-joff,tab_store_existing,0.2538,12.69,complete
stock,-joff,tab_insert_newkey,0.0266,133.12,complete
stock,-joff,tab_hash_read,1.0405,52.02,complete
stock,-joff,tab_read_existing,0.4233,14.11,complete
stock,-joff,tab_array,0.3738,12.46,complete
stock,-joff,alloc_tables,0.2815,56.29,complete
stock,-joff,string_intern,0.1907,95.34,complete
stock,-joff,closures_upval,0.3917,78.33,complete
stock,-joff,upval_hot,0.4471,8.94,complete
stock,-joff,ffi_struct,2.2801,76.0,complete
stock,-joff,coroutine_switch,0.0586,19.54,complete
stock,-joff,sbuf_format,0.2124,106.18,complete
after,-joff,arith_loop,0.2849,5.7,timeout
after,-joff,fib30,0.0328,32849000.0,timeout
after,-joff,tab_hash_write,0.1369,68.47,timeout
after,-joff,tab_store_existing,13.2789,663.94,timeout
