pair,position,kind,operations,loop_cpu_s,ns_per_op,verified_sum,verified_count,process_wall_s,process_user_s,process_system_s
1,1,before,5000,2.013034,402606.8,12502500,5000,2.170269641000232,2.157802,0.002982
1,2,after,5000,0.012408,2481.6,12502500,5000,0.03185105099964858,0.02556999999999965,0.002957
2,1,after,5000,0.012392,2478.4,12502500,5000,0.031613063999884616,0.025346000000000313,0.0029
2,2,before,5000,2.005523,401104.6,12502500,5000,2.1666341250002006,2.150754,0.001979999999999999
3,1,before,5000,2.009745,401949.0,12502500,5000,2.1660899559997233,2.155208,0.001987000000000001
3,2,after,5000,0.012302,2460.4,12502500,5000,0.031744866000281036,0.02645599999999959,0.0019629999999999995
4,1,after,5000,0.012378,2475.6,12502500,5000,0.03171974900033092,0.02540100000000045,0.002910000000000001
4,2,before,5000,2.006077,401215.4,12502500,5000,2.1659938789998705,2.1522439999999996,0.0009849999999999998
5,1,before,5000,2.006007,401201.4,12502500,5000,2.166119369000171,2.1523590000000006,0.0009949999999999994
5,2,after,5000,0.012333,2466.6,12502500,5000,0.0320909010001742,0.025311000000000305,0.003040000000000001
6,1,after,5000,0.012414,2482.8,12502500,5000,0.031775158000073134,0.02428699999999928,0.003864999999999997
6,2,before,5000,2.005629,401125.8,12502500,5000,2.1699768929997845,2.151947,0.0009910000000000023
7,1,before,5000,2.005002,401000.4,12502500,5000,2.170039404000363,2.1521159999999995,0.0
7,2,after,5000,0.012321,2464.2,12502500,5000,0.031848034000176995,0.02442600000000006,0.003887999999999999
