mode,benchmark,stock_ns_per_op,fork_ns_per_op,fork_over_stock
-jon,arith_loop,0.68,0.68,1.0
-jon,fib30,6151000.0,8488000.0,1.37993822142741
-jon,tab_hash_write,25.21,31.95,1.2673542245140816
-jon,tab_store_existing,1.98,1.83,0.9242424242424243
-jon,tab_insert_newkey,114.67,1794.69,15.650911310717712
-jon,tab_hash_read,22.58,23.53,1.04207263064659
-jon,tab_read_existing,2.05,2.07,1.0097560975609756
-jon,tab_array,2.73,2.74,1.0036630036630036
-jon,alloc_tables,0.68,0.69,1.0147058823529411
-jon,string_intern,73.74,8.33,0.11296446975861135
-jon,closures_upval,73.24,1598.75,21.828918623702897
-jon,upval_hot,0.68,0.68,1.0
-jon,ffi_struct,0.68,0.69,1.0147058823529411
-jon,coroutine_switch,26.69,236.62,8.865492693892843
-jon,sbuf_format,71.87,7.75,0.1078335884235425
-joff,arith_loop,3.42,5.71,1.6695906432748537
-joff,fib30,28693000.0,34303000.0,1.1955180706095563
-joff,tab_hash_write,47.88,69.2,1.445279866332498
-joff,tab_store_existing,12.66,734.56,58.02211690363349
-joff,tab_insert_newkey,167.92,3729.75,22.21146974749881
-joff,tab_hash_read,46.67,528.75,11.32954788943647
-joff,tab_read_existing,14.1,,
-joff,tab_array,12.47,,
-joff,alloc_tables,54.98,,
-joff,string_intern,95.41,,
-joff,closures_upval,74.99,,
-joff,upval_hot,8.89,,
-joff,ffi_struct,75.89,,
-joff,coroutine_switch,19.58,,
-joff,sbuf_format,104.83,,
