mode,benchmark,stock_ns_per_op,fork_ns_per_op,fork_over_stock,fork_sample
-jon,arith_loop,0.68,0.68,1.0,pilot360
-jon,fib30,6242000.0,8449000.0,1.3535725728933035,pilot360
-jon,tab_hash_write,25.15,32.02,1.2731610337972168,pilot360
-jon,tab_store_existing,1.87,1.9,1.016042780748663,pilot360
-jon,tab_insert_newkey,118.4,1791.66,15.132263513513513,pilot360
-jon,tab_hash_read,22.74,23.4,1.029023746701847,pilot360
-jon,tab_read_existing,2.03,2.27,1.1182266009852218,pilot360
-jon,tab_array,2.73,2.74,1.0036630036630036,pilot360
-jon,alloc_tables,0.68,0.69,1.0147058823529411,pilot360
-jon,string_intern,74.34,8.33,0.11205273069679848,pilot360
-jon,closures_upval,73.98,1598.78,21.61097593944309,pilot360
-jon,upval_hot,0.68,0.68,1.0,pilot360
-jon,ffi_struct,0.68,0.68,1.0,pilot360
-jon,coroutine_switch,23.97,235.74,9.834793491864833,pilot360
-jon,sbuf_format,72.77,7.75,0.10649993129036692,pilot360
-joff,arith_loop,3.42,5.71,1.6695906432748537,extended900
-joff,fib30,28636000.0,34313000.0,1.1982469618661824,extended900
-joff,tab_hash_write,47.57,68.71,1.4443977296615513,extended900
-joff,tab_store_existing,12.73,274.85,21.59073055773763,extended900
-joff,tab_insert_newkey,131.94,3715.18,28.15810216765196,extended900
-joff,tab_hash_read,50.17,362.4,7.223440302969902,extended900
-joff,tab_read_existing,14.37,608.25,42.32776617954071,extended900
-joff,tab_array,12.47,174.11,13.962309542902968,extended900
-joff,alloc_tables,55.67,2081.78,37.39500628704868,extended900
-joff,string_intern,97.47,87.46,0.8973017338668308,extended900
-joff,closures_upval,75.9,1534.65,20.219367588932805,extended900
-joff,upval_hot,8.93,10.59,1.1858902575587906,extended900
-joff,ffi_struct,77.1,1587.24,20.586770428015566,extended900
-joff,coroutine_switch,21.85,1558.67,71.3350114416476,extended900
-joff,sbuf_format,105.65,7487.7,70.87269285376242,extended900
