mode,benchmark,stock_ns_per_op,fork_ns_per_op,fork_over_stock
-jon,arith_loop,0.68,0.68,1.0
-jon,fib30,6242000.0,8449000.0,1.3535725728933035
-jon,tab_hash_write,25.15,32.02,1.2731610337972168
-jon,tab_store_existing,1.87,1.9,1.016042780748663
-jon,tab_insert_newkey,118.4,1791.66,15.132263513513513
-jon,tab_hash_read,22.74,23.4,1.029023746701847
-jon,tab_read_existing,2.03,2.27,1.1182266009852218
-jon,tab_array,2.73,2.74,1.0036630036630036
-jon,alloc_tables,0.68,0.69,1.0147058823529411
-jon,string_intern,74.34,8.33,0.11205273069679848
-jon,closures_upval,73.98,1598.78,21.61097593944309
-jon,upval_hot,0.68,0.68,1.0
-jon,ffi_struct,0.68,0.68,1.0
-jon,coroutine_switch,23.97,235.74,9.834793491864833
-jon,sbuf_format,72.77,7.75,0.10649993129036692
-joff,arith_loop,3.42,5.7,1.6666666666666667
-joff,fib30,28636000.0,34850000.0,1.2169995809470597
-joff,tab_hash_write,47.57,68.95,1.4494429262140005
-joff,tab_store_existing,12.73,285.74,22.446190102120973
-joff,tab_insert_newkey,131.94,3777.05,28.62702743671366
-joff,tab_hash_read,50.17,375.78,7.49013354594379
-joff,tab_read_existing,14.37,604.32,42.054279749478084
-joff,tab_array,12.47,174.48,13.991980753809141
-joff,alloc_tables,55.67,2093.99,37.61433447098975
-joff,string_intern,97.47,87.07,0.8933005027187852
-joff,closures_upval,75.9,1532.22,20.187351778656126
-joff,upval_hot,8.93,12.07,1.3516237402015678
-joff,ffi_struct,77.1,,
-joff,coroutine_switch,21.85,,
-joff,sbuf_format,105.65,,
