mode,benchmark,stock_ns_per_op,fork_ns_per_op,fork_over_stock,status,process_samples,internal_runs
jit,arith_loop,0.68,0.68,1.000000,complete_unprofiled_pilot,1,5
jit,fib30,6245000.00,8716000.00,1.395677,complete_unprofiled_pilot,1,5
jit,tab_hash_write,25.66,30.20,1.176929,complete_unprofiled_pilot,1,5
jit,tab_store_existing,1.83,1.90,1.038251,complete_unprofiled_pilot,1,5
jit,tab_insert_newkey,113.62,1536.39,13.522179,complete_unprofiled_pilot,1,5
jit,tab_hash_read,22.92,22.45,0.979494,complete_unprofiled_pilot,1,5
jit,tab_read_existing,1.87,2.14,1.144385,complete_unprofiled_pilot,1,5
jit,tab_array,2.73,2.74,1.003663,complete_unprofiled_pilot,1,5
jit,alloc_tables,0.68,0.69,1.014706,complete_unprofiled_pilot,1,5
jit,string_intern,71.48,8.34,0.116676,complete_unprofiled_pilot,1,5
jit,closures_upval,73.59,3830.60,52.053268,complete_unprofiled_pilot,1,5
jit,upval_hot,0.68,0.69,1.014706,complete_unprofiled_pilot,1,5
jit,ffi_struct,0.68,0.69,1.014706,complete_unprofiled_pilot,1,5
jit,coroutine_switch,26.42,236.77,8.961771,complete_unprofiled_pilot,1,5
jit,sbuf_format,71.86,7.75,0.107849,complete_unprofiled_pilot,1,5
interp,arith_loop,3.42,5.71,1.669591,profiled_partial_pilot,1,5
interp,fib30,28691000.00,33175000.00,1.156286,profiled_partial_pilot,1,5
interp,tab_hash_write,49.08,66.55,1.355949,profiled_partial_pilot,1,5
interp,tab_store_existing,12.50,648.52,51.881600,profiled_partial_pilot,1,5
interp,tab_insert_newkey,139.02,174761.75,1257.097900,profiled_partial_pilot,1,5
interp,tab_hash_read,48.21,409.69,8.498029,profiled_partial_pilot,1,5
interp,tab_read_existing,14.28,1019.07,71.363445,profiled_partial_pilot,1,5
interp,tab_array,12.47,247.62,19.857257,profiled_partial_pilot,1,5
interp,alloc_tables,54.91,4341.34,79.062830,profiled_partial_pilot,1,5
interp,string_intern,97.63,128.35,1.314657,profiled_partial_pilot,1,5
interp,closures_upval,75.14,,,fork_not_reported_before_termination,1,5
interp,upval_hot,10.77,,,fork_not_reported_before_termination,1,5
interp,ffi_struct,75.89,,,fork_not_reported_before_termination,1,5
interp,coroutine_switch,18.70,,,fork_not_reported_before_termination,1,5
interp,sbuf_format,105.99,,,fork_not_reported_before_termination,1,5
