mode,benchmark,total_s,ns_per_op,status
jit,arith_loop,0.0342,0.68,complete_unprofiled_pilot
jit,fib30,0.0087,8716000.00,complete_unprofiled_pilot
jit,tab_hash_write,0.0604,30.20,complete_unprofiled_pilot
jit,tab_store_existing,0.0381,1.90,complete_unprofiled_pilot
jit,tab_insert_newkey,0.3073,1536.39,complete_unprofiled_pilot
jit,tab_hash_read,0.4490,22.45,complete_unprofiled_pilot
jit,tab_read_existing,0.0641,2.14,complete_unprofiled_pilot
jit,tab_array,0.0822,2.74,complete_unprofiled_pilot
jit,alloc_tables,0.0034,0.69,complete_unprofiled_pilot
jit,string_intern,0.0167,8.34,complete_unprofiled_pilot
jit,closures_upval,19.1530,3830.60,complete_unprofiled_pilot
jit,upval_hot,0.0343,0.69,complete_unprofiled_pilot
jit,ffi_struct,0.0206,0.69,complete_unprofiled_pilot
jit,coroutine_switch,0.7103,236.77,complete_unprofiled_pilot
jit,sbuf_format,0.0155,7.75,complete_unprofiled_pilot
interp,arith_loop,0.2856,5.71,profiled_partial_pilot
interp,fib30,0.0332,33175000.00,profiled_partial_pilot
interp,tab_hash_write,0.1331,66.55,profiled_partial_pilot
interp,tab_store_existing,12.9705,648.52,profiled_partial_pilot
interp,tab_insert_newkey,34.9523,174761.75,profiled_partial_pilot
interp,tab_hash_read,8.1939,409.69,profiled_partial_pilot
interp,tab_read_existing,30.5720,1019.07,profiled_partial_pilot
interp,tab_array,7.4287,247.62,profiled_partial_pilot
interp,alloc_tables,21.7067,4341.34,profiled_partial_pilot
interp,string_intern,0.2567,128.35,profiled_partial_pilot
