mode,benchmark,total_s,ns_per_op,status
jit,arith_loop,0.0342,0.68,complete_unprofiled_pilot
jit,fib30,0.0062,6245000.00,complete_unprofiled_pilot
jit,tab_hash_write,0.0513,25.66,complete_unprofiled_pilot
jit,tab_store_existing,0.0367,1.83,complete_unprofiled_pilot
jit,tab_insert_newkey,0.0227,113.62,complete_unprofiled_pilot
jit,tab_hash_read,0.4583,22.92,complete_unprofiled_pilot
jit,tab_read_existing,0.0562,1.87,complete_unprofiled_pilot
jit,tab_array,0.0820,2.73,complete_unprofiled_pilot
jit,alloc_tables,0.0034,0.68,complete_unprofiled_pilot
jit,string_intern,0.1430,71.48,complete_unprofiled_pilot
jit,closures_upval,0.3680,73.59,complete_unprofiled_pilot
jit,upval_hot,0.0342,0.68,complete_unprofiled_pilot
jit,ffi_struct,0.0205,0.68,complete_unprofiled_pilot
jit,coroutine_switch,0.0793,26.42,complete_unprofiled_pilot
jit,sbuf_format,0.1437,71.86,complete_unprofiled_pilot
interp,arith_loop,0.1711,3.42,complete_unprofiled_pilot
interp,fib30,0.0287,28691000.00,complete_unprofiled_pilot
interp,tab_hash_write,0.0982,49.08,complete_unprofiled_pilot
interp,tab_store_existing,0.2500,12.50,complete_unprofiled_pilot
interp,tab_insert_newkey,0.0278,139.02,complete_unprofiled_pilot
interp,tab_hash_read,0.9641,48.21,complete_unprofiled_pilot
interp,tab_read_existing,0.4285,14.28,complete_unprofiled_pilot
interp,tab_array,0.3740,12.47,complete_unprofiled_pilot
interp,alloc_tables,0.2745,54.91,complete_unprofiled_pilot
interp,string_intern,0.1953,97.63,complete_unprofiled_pilot
interp,closures_upval,0.3757,75.14,complete_unprofiled_pilot
interp,upval_hot,0.5386,10.77,complete_unprofiled_pilot
interp,ffi_struct,2.2768,75.89,complete_unprofiled_pilot
interp,coroutine_switch,0.0561,18.70,complete_unprofiled_pilot
interp,sbuf_format,0.2120,105.99,complete_unprofiled_pilot
